University Name,Established Year,Country
Bard College Berlin,1999,Germany
Berlin University of the Arts,1696,Germany
Charité,1710,Germany
ESCP Business School,1819,Germany
European School of Management and Technology,2002,Germany
Free University of Berlin,1948,Germany
German International University,2019,Germany
Hertie School,2003,Germany
Humboldt University of Berlin,1810,Germany
International Psychoanalytic University Berlin,2009,Germany
Berlin University of Psychology,2013,Germany
TU Berlin,1879,Germany
Bielefeld University,1969,Germany
Ruhr University Bochum,1962,Germany
University of Bonn,1818,Germany
TU Braunschweig,1745,Germany
Constructor University,2001,Germany
University of Bremen,1971,Germany
TU Chemnitz,1836,Germany
TU Clausthal,1775,Germany
TU Brandenburg,2013,Germany
TU Darmstadt,1877,Germany
TU Dortmund,1968,Germany
Dresden International University,2003,Germany
TU Dresden,1828,Germany
Herinrich Heine University Düsseldorf,1965,Germany
Catholic University of Eichstätt-Ingolstadt,1980,Germany
University of Erfurt,1392,Germany
University of Erlangen-Nürnberg,1743,Germany
University of Duisburg-Essen,2003,Germany
University of Flensburg,1946,Germany
Frankfurt School of Finance & Management,1957,Germany
Goethe University Frankfurt,1914,Germany
Sankt Georgen Graduate School of Philosophy and Theology,1926,Germany
European University Viadrina,1991,Germany
Freiberg University of Mining and Technology,1765,Germany
University of Freiburg,1457,Germany
Freiburg University of Education,1962,Germany
Theological University of Friedensau,1899,Germany
Zeppelin University,2003,Germany
University of Theology Fulda,1743,Germany
University of Giessen,1607,Germany
University of Göttingen,1737,Germany
University of Greifswald,1456,Germany
University of Hagen,1974,Germany
Martin-Luther-University Halle-Wittenberg,1502,Germany
Bucerius Law School,2000,Germany
HafenCity University Hamburg,2006,Germany
Helmut Schmidt University,1973,Germany
Kühne Logistics University,2010,Germany
TU Hamburg,1978,Germany
University of Hamburg,1919,Germany
Leibniz University Hannover,1831,Germany
Hannover Medical School,1965,Germany
University of Veterinary Medicine Hannover,1778,Germany
Center for Jewish Studies Heidelberg,1979,Germany
University of Heidelberg,1386,Germany
University of Hildesheim,1978,Germany
TU Ilmenau,1953,Germany
University of Jena,1558,Germany
RPTU University Kaiserslautern-Landau,1970,Germany
Karlsruhe Institute of Technology,2009,Germany
Karlsruhe University of Education,1962,Germany
University of Kassel,1971,Germany
Kiel University,1665,Germany
University of Koblenz,1903,Germany
German Sport University Cologne,1947,Germany
Cologne University of Catholic Theology,1925,Germany
University of Cologne,1388,Germany
University of Konstanz,1966,Germany
Medical University of Lausitz,2024,Germany
HHL Leipzig Graduate School of Management,1898,Germany
Leipzig University,1409,Germany
University of Lübeck,1964,Germany
Ludwigsburg University of Education,1962,Germany
Leuphana University of Lüneburg,1946,Germany
Otto von Guericke University of Magdeburg,1993,Germany
University of Mainz,1477,Germany
University of Mannheim,1907,Germany
Marburg University,1527,Germany
Munich School of Philosophy,1925,Germany
LMU Munich,1472,Germany
TU Munich,1868,Germany
Münster University of Philosophy and Theology,2004,Germany
University of Münster,1780,Germany
University of the Bundeswehr Munich,1973,Germany
Augustana Divinity School,1947,Germany
Brandenburg Medical School Theodor Fontane,2014,Germany
University of Technology Nuremberg,2021,Germany
Oberusel Theological University,1949,Germany
EBS University for Business and Law,1971,Germany
University of Oldenburg,1973,Germany
University of Osnabrück,1629,Germany
Paderborn Faculty of Theology,1614,Germany
University of Paderborn,1972,Germany
University of Passau,1978,Germany
University of Potsdam,1991,Germany
University of Regensburg,1962,Germany
University of Rostock,1419,Germany
Saarland University,1948,Germany
University of Education Schwäbisch Gmünd,1962,Germany
University of Siegen,1972,Germany
German University of Administrative Sciences Speyer,1947,Germany
Stuttgart Free University,1946,Germany
University of Stuttgart,1829,Germany
University of Hohenheim,1818,Germany
Trier Faculty of Theology,1950,Germany
University of Trier,1970,Germany
University of Tübingen,1477,Germany
University of Ulm,1967,Germany
Vinzenz Pallotti University,1946,Germany
WHU – Otto Beisheim School of Management,1984,Germany
University of Vechta,1995,Germany
Bauhaus-University Weimar,1860,Germany
Weingarten University of Education,1962,Germany
Charlotte Fresenius University,2021,Germany
Witten/Herdecke University,1982,Germany
University of Wuppertal,1972,Germany
Theological University Wuppertal,1974,Germany
University of Würzburg,1402,Germany
Andrássy University Budapest,2001,Hungary
University of Veterinary Medicine,1851,Hungary
Corvinus University,1920,Hungary
Budapest University of Economics and Business,1857,Hungary
Budapest University of Technology and Economics,1782,Hungary
Eötvös Loránd University,1635,Hungary
Franz Liszt Academy of Music,1875,Hungary
Hungarian University of Fine Arts,1871,Hungary
Hungarian Dance Academy,2017,Hungary
Moholy-Nagy University of Art and Design,2001,Hungary
National University of Public Service,2011,Hungary
Óbuda University,1879,Hungary
Semmelweis University,1769,Hungary
Academy of Drama and Film,2000,Hungary
University of Physical Education,1925,Hungary
Lutheran Theological University,1557,Hungary
Károli Gáspár University of Reformed Church,1993,Hungary
Budapest University of Jewish Studies,1877,Hungary
Pázmány Péter Catholic University,1992,Hungary
Budapest Metropolitan University,2001,Hungary
Central European University,1991,Hungary
Milton Friedman University,2001,Hungary
Dennis Gabor University,1992,Hungary
Kodolányi János University,1992,Hungary
International Business School,1991,Hungary
Agricultural University of Iceland,2005,Iceland
Bifröst University,1918,Iceland
Hólar University College,1882,Iceland
Iceland University of the Arts,1998,Iceland
Reykjavík University,1998,Iceland
University of Akureyri,1987,Iceland
University of Iceland,1911,Iceland
Ion Creangă State Pedagogical University,1940,Moldova
"Academy of Music, Theatre and Fine Arts",1940,Moldova
Alecu Russo State University,1945,Moldova
Nicolae Testemițanu State University of Medicine and Pharmacy,1945,Moldova
Moldova State University,1946,Moldova
Technical University of Moldova,1964,Moldova
Ștefan cel Mare Academy of the Ministry of Internal Affairs,1990,Moldova
Academy of Economic Studies of Moldova,1991,Moldova
Comrat State University,1991,Moldova
Alexandru cel Bun Military Academy,1993,Moldova
"Angel Kanchev University of Ruse, Taraclia Branch",2025,Moldova
Nord University,1994,Norway
Norwegian University of Life Sciences (NMBU),1859,Norway
Norwegian University of Science and Technology (NTNU),1996,Norway
OsloMet - Oslo Metropolitan University,2018,Norway
University of Agder,1994,Norway
University of Bergen,1948,Norway
University of Inland Norway,2017,Norway
University of Oslo,1811,Norway
University of South-Eastern Norway,2016,Norway
University of Stavanger,1994,Norway
University of Tromsø – The Arctic University of Norway,1972,Norway
University of Belgrade,1808,Serbia
University of Novi Sad,1960,Serbia
University of Niš,1965,Serbia
University of Kragujevac,1976,Serbia
University of Arts,1957,Serbia
State University of Novi Pazar,2006,Serbia
University of Defence,2011,Serbia
University of Criminal and Police Studies,1993,Serbia
Al-Andalusía Islamic University of Spain,2018,Spain
University of Alcalá,1977,Spain
Alfonso X University,1993,Spain
University of Alicante,1979,Spain
University of Almería,1993,Spain
International University of Andalusia,1994,Spain
Catholic University of Ávila,1996,Spain
Atlantic-Mediterranean Technological University,2023,Spain
European University of the Atlantic,2013,Spain
University of the Middle Atlantic,2015,Spain
University of the Balearic Islands,1978,Spain
Autonomous University of Barcelona,1968,Spain
International University of Catalonia,1997,Spain
University of Barcelona,1450,Spain
University of the Basque Country,1980,Spain
University of Burgos,1994,Spain
University of Cádiz,1979,Spain
Camilo José Cela University,1998,Spain
European University of Canarias,2010,Spain
University of Cantabria,1972,Spain
Polytechnic University of Cartagena,1998,Spain
Polytechnic University of Catalonia,1971,Spain
University of Castilla–La Mancha,1985,Spain
Abat Oliba CEU University,2003,Spain
Universidad CEU Cardenal Herrera,1999,Spain
CEU San Pablo University,1993,Spain
Carlos III University of Madrid,1989,Spain
Comillas Pontifical University,1890,Spain
University of Córdoba,1972,Spain
University of A Coruña,1989,Spain
University of the Conservation (in Catalan),1991,Spain
CUNEF University,2019,Spain
University of Deusto,1886,Spain
"University of Design, Innovation, and Technology (in Spanish)",2022,Spain
National University of Distance Education,1972,Spain
Miguel Hernández University of Elche,1996,Spain
ESIC University,2019,Spain
European University,1973,Spain
University of Extremadura,1973,Spain
Fernando III University,2023,Spain
Fernando Pessoa Canarias University,2014,Spain
Francisco de Vitoria University,1993,Spain
European University Gasteiz,2021,Spain
University of Girona,1446,Spain
University of Granada,1531,Spain
University of Huelva,1993,Spain
IE University,2008,Spain
Intercontinental University of Business,2021,Spain
University Isabel I,2011,Spain
University of Jaén,1993,Spain
Jaume I University,1991,Spain
King Juan Carlos University,1996,Spain
University of La Laguna,1927,Spain
University of León,1979,Spain
University of Lleida,1297,Spain
Loyola University Andalusia,2011,Spain
Autonomous University of Madrid,1968,Spain
Complutense University of Madrid,1499,Spain
Universidad a Distancia de Madrid,2006,Spain
European University of Madrid,1995,Spain
Technical University of Madrid,1971,Spain
University of Málaga,1972,Spain
University of Murcia,1914,Spain
Menéndez Pelayo International University,1932,Spain
Miguel de Cervantes European University,2002,Spain
Mondragon University,1997,Spain
University of Navarre,1952,Spain
Public University of Navarre,1987,Spain
Nebrija University,1995,Spain
Open University of Catalonia,1990,Spain
University of Oviedo,1608,Spain
Pablo de Olavide University,1997,Spain
University of Las Palmas de Gran Canaria,1989,Spain
Pompeu Fabra University,1990,Spain
Les Roches Marbella International School of Hotel Management,1995,Spain
Schellhammer Business School,2009,Spain
Harbour.Space University,2015,Spain
Ramon Llull University,1990,Spain
University of La Rioja,1992,Spain
International University of La Rioja,2008,Spain
Rovira i Virgili University,1991,Spain
University of Salamanca,1218,Spain
Pontifical University of Salamanca,1940,Spain
San Antonio Catholic University of Murcia,1996,Spain
San Damaso Ecclesiastical University,2011,Spain
San Jorge University (in Spanish),2005,Spain
Valencia Catholic University Saint Vincent Martyr,2003,Spain
University of Santiago de Compostela,1495,Spain
University of Seville,1505,Spain
University of Valencia,1499,Spain
Valencian International University,2008,Spain
Polytechnic University of Valencia,1968,Spain
University of Valladolid,1241,Spain
University of Vic,1997,Spain
University of Vigo,1990,Spain
Villanueva University,2019,Spain
University of Zaragoza,1542,Spain
Uppsala University,1477,Sweden
Lund University,1666,Sweden
University of Gothenburg,1954,Sweden
Stockholm University,1960,Sweden
Karolinska Institutet,1965,Sweden
Umeå University,1965,Sweden
KTH Royal Institute of Technology,1970,Sweden
Linköping University,1975,Sweden
Swedish University of Agricultural Sciences,1977,Sweden
Luleå University of Technology,1997,Sweden
Karlstad University,1999,Sweden
Örebro University,1999,Sweden
Mid Sweden University,2005,Sweden
Linnaeus University,2010,Sweden
Malmö University,2018,Sweden
University of Basel,1460,Switzerland
University of Bern,1834,Switzerland
University of Fribourg,1889,Switzerland
University of Geneva,1559,Switzerland
University of Neuchâtel,1838,Switzerland
University of Lausanne,1537,Switzerland
University of Lucerne,2000,Switzerland
Università della Svizzera Italiana,1995,Switzerland
University of St. Gallen,1898,Switzerland
University of Zurich,1833,Switzerland
Swiss Federal Institute of Technology Lausanne,1853,Switzerland
Swiss Federal Institute of Technology Zurich,1855,Switzerland
